NAME,YEAR,MONTH,DAY
New Year's Day,2019,1,1
"Martin Luther King, Jr. Day",2019,1,21
President's Day,2019,2,18
Memorial Day,2019,5,27
Independence Day,2019,7,4
Labor Day,2019,9,2
Columbus Day,2019,10,14
Veterans Day,2019,11,11
Thanksgiving Day,2019,11,28
Christmas Day,2019,12,25
New Year's Day,2018,1,1
"Martin Luther King, Jr. Day",2018,1,15
President's Day,2018,2,19
Memorial Day,2018,5,28
Independence Day,2018,7,4
Labor Day,2018,9,3
Columbus Day,2018,10,8
Veterans Day,2018,11,12
Thanksgiving Day,2018,11,22
Christmas Day,2018,12,25
New Year's Day,2017,1,2
"Martin Luther King, Jr. Day",2017,1,16
President's Day,2017,2,20
Memorial Day,2017,5,29
Independence Day,2017,7,4
Labor Day,2017,9,4
Columbus Day,2017,10,9
Veterans Day,2017,11,10
Thanksgiving Day,2017,11,23
Christmas Day,2017,12,25
New Year's Day,2016,1,1
"Martin Luther King, Jr. Day",2016,1,18
President's Day,2016,2,15
Memorial Day,2016,5,30
Independence Day,2016,7,4
Labor Day,2016,9,5
Columbus Day,2016,10,10
Veterans Day,2016,11,11
Thanksgiving Day,2016,11,24
Christmas Day,2016,12,26
New Year's Day,2015,1,1
"Martin Luther King, Jr. Day",2015,1,19
President's Day,2015,2,16
Memorial Day,2015,5,25
Independence Day,2015,7,3
Labor Day,2015,9,7
Columbus Day,2015,10,12
Veterans Day,2015,11,11
Thanksgiving Day,2015,11,26
Christmas Day,2015,12,25
