NAME,TYPE,LOCATION,DATE_START,DATE_END,NEIGHBOURHOOD,LOCATION-SIZE
Denver Day of Rock ,music,1601 Arapahoe St,20150523,20150523,cbd,address
Denver Day of Rock ,music,16th St Mall,20150523,20150523,cbd,address
Westword Music Showcase,music,,20150620,20150620,,city
Bluebird District Music Festival,music,3317 E Colfax Ave,20150710,20150712,city-park,address
The Underground Music Showcase,music,21 S Broadway,20150723,20150726,baker,address
Higher Ground Music Festival,music,1111 S Avenue E,20150821,20150822,five-points,address
RIOT FEST DENVER,music,4655 Humboldt St,20150828,20150830,elyria-swansea,address
NBA,sport,1000 Chopper Cir,20151016,20151016,auraria,address
2015 Draft Party,sport,1000 Chopper Cir,20150625,20150625,auraria,address
LOHI Music Festival,music,2219 W 32nd Ave,20160611,20160611,highland,address
Westword Music Showcase,music,,20160625,20160625,,city
Underground Music Showcase,music,21 S Broadway,20160728,20160731,baker,address
Vans Warped Tour,music,1000 Chopper Cir,20160731,20160731,auraria,address
Riot Fest,music,4655 Humboldt St,20160902,20160904,elyria-swansea,address
FISE World Denver,sport,890 Auraria Pkwy,20160903,20160905,auraria,address
Denver Chalk Art Festival,culture,1430 Larimer St,20160604,20160605,union-station,address
Denver Comic Con,culture,700 14th St,20160617,20160619,cbd,address
Denver Arts Festival,culture,,20160618,20160619,,city
Colorado Dragon Boat Festival,sport,1700 N Sheridan Blvd,20160730,20160731,sloan-lake,address
A Taste of Colorado,culture,,20160902,20160905,civic-center,neighbourhood
Denver Restaurant Week,culture,,20170224,20170305,,city
The Edge at Denver Zoo Grand Opening Week,culture,2300 Steele St,20170317,20170324,city-park,address
Denver March Powwow ,culture,4600 Humboldt St,20170324,20170326,elyria-swansea,address
Collaboration Fest,culture,4655 Humboldt St,20170325,20170325,elyria-swansea,address
Rodeo All-Star Weekend,sport,4655 Humboldt St,20170414,20170415,elyria-swansea,address
Five Points Jazz Festival,music,,20170520,20170520,five-points,neighbourhood
Denver Day of Rock,music,1001 16th St Mall,20170527,20170527,cbd,address
Cinco de Mayo Festival,culture,,20170506,20170507,civic-center,neighbourhood
Colfax Marathon,sport,,20170520,20170521,,city
Denver Chalk Art Festival,culture,1430 Larimer St,20170603,20170604,union-station,address
Denver PrideFest,culture,,20170617,20170618,civic-center,neighbourhood
Denver Comic Con,culture,700 14th St,20170630,20170702,cbd,address
Cherry Creek Arts Festival,culture,,20170701,20170703,cherry-creek,neighbourhood
Independence Eve,culture,,20170703,20170703,civic-center,neighbourhood
CONCACAF Gold Cup,sport,1701 Bryant St,20170713,20170713,sun-valley,address
Slow Food Nations,culture,1430 Larimer St,20170714,20170716,union-station,address
Underground Music Showcase,music,21 S Broadway,20170727,20170730,baker,address
Colorado Dragon Boat Festival,sport,1700 N Sheridan Blvd,20170729,20170730,sloan-lake,address
Colorado Classic Professional Bike Race & Festival,sport,,20170811,20170813,,city
A Taste of Colorado,culture,,20170901,20170904,civic-center,neighbourhood
Great American Beer Festival,culture,700 14th St,20171005,20171007,cbd,address
40th Annual Denver Film Festival ,culture,1385 Curtis Street,20171103,20171111,cbd,address
Denver March Powwow ,culture,4600 Humboldt St,20180323,20180325,elyria-swansea,address
Collaboration Fest,culture,650 15th St,20180331,20180331,cbd,address
Rodeo All-Star Weekend ,sport,4655 Humboldt St,20180413,20180414,elyria-swansea,address
Five Points Jazz Festival,music,,20180519,20180519,five-points,neighbourhood
Denver Day of Rock,music,1001 16th St Mall,20180526,20180526,cbd,address
Cinco de Mayo Festival,culture,,20180505,20180506,civic-center,neighbourhood
