NAME,TYPE,LOCATION,DATE_START,DATE_END,NEIGHBOURHOOD,LOCATION-SIZE
BMO Vancouver Marathon,sport,,20150507,20150507,,city
Celebration of Light,culture,English Bay Beach,20150725,20150725,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20150729,20150729,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20150801,20150801,Kitsilano,neighbourhood
Cherry Blossom Festival,culture,,20150402,20150429,,city
Dine Out Vancouver Festival,culture,,20150116,20150201,,city
International Jazz Festival,music,Granville Island,20150701,20150701,Fairview,address
International Jazz Festival,music,1300 Pacific Blvd,20150701,20150702,Central Business District,address
PuSh International Performing Arts Festival,culture,,20150120,20150208,,city
TED Conference,culture,800 Griffiths Way,20151114,20151114,Central Business District,address
sixth annual Vancouver Craft Beer Week,culture,50 Pacific Blvd,20150605,20150607,Central Business District,address
Vancouver Folk Music Festival,music,JERICHO BEACH,20150717,20150719,West Point Grey,address
Vancouver International Film Festival,culture,1181 Seymour St.,20150924,20151009,Central Business District,address
Vancouver International Wine Festival,culture,1055 Canada Place,20150226,20150301,Central Business District,address
Vancouver Pride Festival,culture,,20150802,20150802,West End,neighbourhood
BMO Vancouver Marathon,sport,,20160410,20160410,,city
Celebration of Light,culture,English Bay Beach,20160723,20160723,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20160727,20160727,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20160730,20160730,Kitsilano,neighbourhood
Cherry Blossom Festival,culture,,20160324,20160417,,city
Dine Out Vancouver Festival,culture,,20160115,20160131,,city
HSBC Canada Sevens,sport,777 Pacific Blvd,20160312,20160313,Central Business District,address
International Jazz Festival,music,1300 Pacific Blvd,20160702,20160703,Central Business District,address
PuSh International Performing Arts Festival,culture,,20160119,20160207,,city
TED Conference,culture,1055 Canada Place,20160215,20160219,Central Business District,address
Vancouver Craft Beer Week,culture,2901 E Hastings,20160603,20160605,Central Business District,address
Vancouver Folk Music Festival,music,JERICHO BEACH PARK,20160715,20160717,West Point Grey,address
Vancouver International Film Festival,culture,1181 Seymour St.,20160929,20161014,Central Business District,address
Vancouver International Wine Festival,culture,1055 Canada Place,20160224,20160228,Central Business District,address
Vancouver Pride Festival,culture,,20160731,20160731,West End,neighbourhood
BMO Vancouver Marathon,sport,,20170507,20170507,,address
