date_key,year,month,day,day_of_week,is_weekend,is_holiday_vancouver,holiday_name_vancouver,is_holiday_denver,holiday_name_denver
20150101,2015,1,1,Thursday,0,1,New Year's Day,1,New Year's Day
20150102,2015,1,2,Friday,0,0,,0,
20150103,2015,1,3,Saturday,1,0,,0,
20150104,2015,1,4,Sunday,1,0,,0,
20150105,2015,1,5,Monday,0,0,,0,
20150106,2015,1,6,Tuesday,0,0,,0,
20150107,2015,1,7,Wednesday,0,0,,0,
20150108,2015,1,8,Thursday,0,0,,0,
20150109,2015,1,9,Friday,0,0,,0,
20150110,2015,1,10,Saturday,1,0,,0,
20150111,2015,1,11,Sunday,1,0,,0,
20150112,2015,1,12,Monday,0,0,,0,
20150113,2015,1,13,Tuesday,0,0,,0,
20150114,2015,1,14,Wednesday,0,0,,0,
20150115,2015,1,15,Thursday,0,0,,0,
20150116,2015,1,16,Friday,0,0,,0,
20150117,2015,1,17,Saturday,1,0,,0,
20150118,2015,1,18,Sunday,1,0,,0,
20150119,2015,1,19,Monday,0,0,,1,"Martin Luther King, Jr. Day"
20150120,2015,1,20,Tuesday,0,0,,0,
20150121,2015,1,21,Wednesday,0,0,,0,
20150122,2015,1,22,Thursday,0,0,,0,
20150123,2015,1,23,Friday,0,0,,0,
20150124,2015,1,24,Saturday,1,0,,0,
20150125,2015,1,25,Sunday,1,0,,0,
20150126,2015,1,26,Monday,0,0,,0,
20150127,2015,1,27,Tuesday,0,0,,0,
20150128,2015,1,28,Wednesday,0,0,,0,
20150129,2015,1,29,Thursday,0,0,,0,
20150130,2015,1,30,Friday,0,0,,0,
20150131,2015,1,31,Saturday,1,0,,0,
20150201,2015,2,1,Sunday,1,0,,0,
20150202,2015,2,2,Monday,0,0,,0,
20150203,2015,2,3,Tuesday,0,0,,0,
20150204,2015,2,4,Wednesday,0,0,,0,
20150205,2015,2,5,Thursday,0,0,,0,
20150206,2015,2,6,Friday,0,0,,0,
20150207,2015,2,7,Saturday,1,0,,0,
20150208,2015,2,8,Sunday,1,0,,0,
20150209,2015,2,9,Monday,0,1,Family Day,0,
20150210,2015,2,10,Tuesday,0,0,,0,
20150211,2015,2,11,Wednesday,0,0,,0,
20150212,2015,2,12,Thursday,0,0,,0,
20150213,2015,2,13,Friday,0,0,,0,
20150214,2015,2,14,Saturday,1,0,,0,
20150215,2015,2,15,Sunday,1,0,,0,
20150216,2015,2,16,Monday,0,0,,1,President's Day
20150217,2015,2,17,Tuesday,0,0,,0,
20150218,2015,2,18,Wednesday,0,0,,0,
20150219,2015,2,19,Thursday,0,0,,0,
20150220,2015,2,20,Friday,0,0,,0,
20150221,2015,2,21,Saturday,1,0,,0,
20150222,2015,2,22,Sunday,1,0,,0,
20150223,2015,2,23,Monday,0,0,,0,
20150224,2015,2,24,Tuesday,0,0,,0,
20150225,2015,2,25,Wednesday,0,0,,0,
20150226,2015,2,26,Thursday,0,0,,0,
20150227,2015,2,27,Friday,0,0,,0,
20150228,2015,2,28,Saturday,1,0,,0,
20150301,2015,3,1,Sunday,1,0,,0,
20150302,2015,3,2,Monday,0,0,,0,
20150303,2015,3,3,Tuesday,0,0,,0,
20150304,2015,3,4,Wednesday,0,0,,0,
20150305,2015,3,5,Thursday,0,0,,0,
20150306,2015,3,6,Friday,0,0,,0,
20150307,2015,3,7,Saturday,1,0,,0,
20150308,2015,3,8,Sunday,1,0,,0,
20150309,2015,3,9,Monday,0,0,,0,
20150310,2015,3,10,Tuesday,0,0,,0,
20150311,2015,3,11,Wednesday,0,0,,0,
20150312,2015,3,12,Thursday,0,0,,0,
20150313,2015,3,13,Friday,0,0,,0,
20150314,2015,3,14,Saturday,1,0,,0,
20150315,2015,3,15,Sunday,1,0,,0,
20150316,2015,3,16,Monday,0,0,,0,
20150317,2015,3,17,Tuesday,0,0,,0,
20150318,2015,3,18,Wednesday,0,0,,0,
20150319,2015,3,19,Thursday,0,0,,0,
20150320,2015,3,20,Friday,0,0,,0,
20150321,2015,3,21,Saturday,1,0,,0,
20150322,2015,3,22,Sunday,1,0,,0,
20150323,2015,3,23,Monday,0,0,,0,
20150324,2015,3,24,Tuesday,0,0,,0,
20150325,2015,3,25,Wednesday,0,0,,0,
20150326,2015,3,26,Thursday,0,0,,0,
20150327,2015,3,27,Friday,0,0,,0,
20150328,2015,3,28,Saturday,1,0,,0,
20150329,2015,3,29,Sunday,1,0,,0,
20150330,2015,3,30,Monday,0,0,,0,
20150331,2015,3,31,Tuesday,0,0,,0,
20150401,2015,4,1,Wednesday,0,0,,0,
20150402,2015,4,2,Thursday,0,0,,0,
20150403,2015,4,3,Friday,0,1,Good Friday,0,
20150404,2015,4,4,Saturday,1,0,,0,
20150405,2015,4,5,Sunday,1,0,,0,
20150406,2015,4,6,Monday,0,0,,0,
20150407,2015,4,7,Tuesday,0,0,,0,
20150408,2015,4,8,Wednesday,0,0,,0,
20150409,2015,4,9,Thursday,0,0,,0,
20150410,2015,4,10,Friday,0,0,,0,
20150411,2015,4,11,Saturday,1,0,,0,
20150412,2015,4,12,Sunday,1,0,,0,
20150413,2015,4,13,Monday,0,0,,0,
20150414,2015,4,14,Tuesday,0,0,,0,
20150415,2015,4,15,Wednesday,0,0,,0,
20150416,2015,4,16,Thursday,0,0,,0,
20150417,2015,4,17,Friday,0,0,,0,
20150418,2015,4,18,Saturday,1,0,,0,
20150419,2015,4,19,Sunday,1,0,,0,
20150420,2015,4,20,Monday,0,0,,0,
20150421,2015,4,21,Tuesday,0,0,,0,
20150422,2015,4,22,Wednesday,0,0,,0,
20150423,2015,4,23,Thursday,0,0,,0,
20150424,2015,4,24,Friday,0,0,,0,
20150425,2015,4,25,Saturday,1,0,,0,
20150426,2015,4,26,Sunday,1,0,,0,
20150427,2015,4,27,Monday,0,0,,0,
20150428,2015,4,28,Tuesday,0,0,,0,
20150429,2015,4,29,Wednesday,0,0,,0,
20150430,2015,4,30,Thursday,0,0,,0,
20150501,2015,5,1,Friday,0,0,,0,
20150502,2015,5,2,Saturday,1,0,,0,
20150503,2015,5,3,Sunday,1,0,,0,
20150504,2015,5,4,Monday,0,0,,0,
20150505,2015,5,5,Tuesday,0,0,,0,
20150506,2015,5,6,Wednesday,0,0,,0,
20150507,2015,5,7,Thursday,0,0,,0,
20150508,2015,5,8,Friday,0,0,,0,
20150509,2015,5,9,Saturday,1,0,,0,
20150510,2015,5,10,Sunday,1,0,,0,
20150511,2015,5,11,Monday,0,0,,0,
20150512,2015,5,12,Tuesday,0,0,,0,
20150513,2015,5,13,Wednesday,0,0,,0,
20150514,2015,5,14,Thursday,0,0,,0,
20150515,2015,5,15,Friday,0,0,,0,
20150516,2015,5,16,Saturday,1,0,,0,
20150517,2015,5,17,Sunday,1,0,,0,
20150518,2015,5,18,Monday,0,1,Victoria Day,0,
20150519,2015,5,19,Tuesday,0,0,,0,
20150520,2015,5,20,Wednesday,0,0,,0,
