event_key,event_name,event_type,event_location,event_neighbourhood,event_city,event_start_date,event_end_date,event_location_size
3000000,Denver Day of Rock ,music,1601 Arapahoe St,cbd,Denver,20150523,20150523,address
3000001,Denver Day of Rock ,music,16th St Mall,cbd,Denver,20150523,20150523,address
3000002,Westword Music Showcase,music,,,Denver,20150620,20150620,city
3000003,Bluebird District Music Festival,music,3317 E Colfax Ave,city-park,Denver,20150710,20150712,address
3000004,The Underground Music Showcase,music,21 S Broadway,baker,Denver,20150723,20150726,address
3000005,Higher Ground Music Festival,music,1111 S Avenue E,five-points,Denver,20150821,20150822,address
3000006,RIOT FEST DENVER,music,4655 Humboldt St,elyria-swansea,Denver,20150828,20150830,address
3000007,NBA,sport,1000 Chopper Cir,auraria,Denver,20151016,20151016,address
3000008,2015 Draft Party,sport,1000 Chopper Cir,auraria,Denver,20150625,20150625,address
3000009,LOHI Music Festival,music,2219 W 32nd Ave,highland,Denver,20160611,20160611,address
3000010,Westword Music Showcase,music,,,Denver,20160625,20160625,city
3000011,Underground Music Showcase,music,21 S Broadway,baker,Denver,20160728,20160731,address
3000012,Vans Warped Tour,music,1000 Chopper Cir,auraria,Denver,20160731,20160731,address
3000013,Riot Fest,music,4655 Humboldt St,elyria-swansea,Denver,20160902,20160904,address
3000014,FISE World Denver,sport,890 Auraria Pkwy,auraria,Denver,20160903,20160905,address
3000015,Denver Chalk Art Festival,culture,1430 Larimer St,union-station,Denver,20160604,20160605,address
3000016,Denver Comic Con,culture,700 14th St,cbd,Denver,20160617,20160619,address
3000017,Denver Arts Festival,culture,,,Denver,20160618,20160619,city
3000018,Colorado Dragon Boat Festival,sport,1700 N Sheridan Blvd,sloan-lake,Denver,20160730,20160731,address
3000019,A Taste of Colorado,culture,,civic-center,Denver,20160902,20160905,neighbourhood
3000020,Denver Restaurant Week,culture,,,Denver,20170224,20170305,city
3000021,The Edge at Denver Zoo Grand Opening Week,culture,2300 Steele St,city-park,Denver,20170317,20170324,address
3000022,Denver March Powwow ,culture,4600 Humboldt St,elyria-swansea,Denver,20170324,20170326,address
